subject,number,avg_gpa,sum_students,title
REHB,402,2.907777777777777,54,Medical Aspects of Disability
CHLH,494,3.753148148148148,54,Special Topics: Health Issues
SHS,383,3.590576923076923,52,Neurodev Disorders in Context
KIN,494,3.6792307692307693,52,Special Topics
SHS,512,3.442307692307692,52,Orofacial Anomalies
SHS,477,3.863137254901961,51,Beginning Practicum in SHS
SHS,534,3.837254901960784,51,Aphasia and Related Disorders
CHLH,573,3.507,50,Biostatistics in Public Health
SHS,511,3.7227083333333333,48,Asst & Mgmt of Voice Disorders
CHLH,244,3.029148936170213,47,Health Statistics
KIN,111,3.933333333333333,45,Prescribed Exercise
KIN,459,3.431891891891892,37,Physical Activity & Aging
CHLH,409,3.8055555555555562,36,Women's Health
SHS,470,3.9117647058823533,34,Neural Bases Spch Lang
KIN,387,3.946129032258064,31,Exper in the Agency Setting
RST,341,3.873793103448275,29,Community Recreation Planning
IHLT,232,3.586206896551724,29,Health Disparities in the U.S.
SHS,576,3.976896551724138,29,School Intrnshp Spch-Lang Path
KIN,160,3.56,28,Introduction to Kinesiology
CHLH,110,3.25,28,Intro to the Health Sciences
KIN,452,3.5,28,Clin & Applied Ex Physiology
SHS,533,3.8928571428571432,28,Advanced Language Diagnostics
SHS,513,3.9468,25,Normal & Disordered Swallowing
RST,594,3.68125,24,Strategic Management
CHLH,540,3.916666666666666,24,Health Behavior: Theory
SHS,532,3.944583333333333,24,Lang Disorders Schl-Age Child
CHLH,594,3.942173913043478,23,Special Topics
SHS,572,3.936666666666666,21,Counseling in Comm Disorders
RST,516,3.9204761904761902,21,Finance & Budgeting in RST
KIN,460,3.889047619047619,21,Technology & Pedagogical KINES
